TITLE     = "Time Series Plot"
VARIABLES = "Solution Time"
"P[psf]"
ZONE T="Time Series Plot Zone"
 STRANDID=0, SOLUTIONTIME=0
 I=18000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.250000089E-02 -6.390267015E-01
 2.254166640E-02 -6.390281320E-01
 2.258333378E-02 -6.390278935E-01
 2.262499928E-02 -6.390293241E-01
 2.266666666E-02 -6.390290260E-01
 2.270833403E-02 -6.390304565E-01
 2.274999954E-02 -6.390302777E-01
 2.279166691E-02 -6.390316486E-01
 2.283333242E-02 -6.390313506E-01
 2.287499979E-02 -6.390327811E-01
 2.291666716E-02 -6.390323639E-01
 2.295833267E-02 -6.390336752E-01
 2.300000004E-02 -6.390334964E-01
 2.304166742E-02 -6.390349269E-01
 2.308333293E-02 -6.390345693E-01
 2.312500030E-02 -6.390360594E-01
 2.316666581E-02 -6.390358210E-01
 2.320833318E-02 -6.390372515E-01
 2.325000055E-02 -6.390369534E-01
 2.329166606E-02 -6.390384436E-01
 2.333333343E-02 -6.390382051E-01
 2.337500080E-02 -6.390397549E-01
 2.341666631E-02 -6.390396953E-01
 2.345833369E-02 -6.390414238E-01
 2.349999920E-02 -6.390413642E-01
 2.354166657E-02 -6.390428543E-01
 2.358333394E-02 -6.390426159E-01
 2.362499945E-02 -6.390440464E-01
 2.366666682E-02 -6.390438080E-01
 2.370833419E-02 -6.390452981E-01
 2.374999970E-02 -6.390448809E-01
 2.379166707E-02 -6.390461922E-01
 2.383333258E-02 -6.390456557E-01
 2.387499996E-02 -6.390469074E-01
 2.391666733E-02 -6.390464306E-01
 2.395833284E-02 -6.390479207E-01
 2.400000021E-02 -6.390477419E-01
 2.404166758E-02 -6.390489936E-01
 2.408333309E-02 -6.390484571E-01
 2.412500046E-02 -6.390498281E-01
 2.416666597E-02 -6.390493512E-01
 2.420833334E-02 -6.390507221E-01
 2.425000072E-02 -6.390504241E-01
 2.429166622E-02 -6.390517354E-01
 2.433333360E-02 -6.390512586E-01
 2.437499911E-02 -6.390525103E-01
 2.441666648E-02 -6.390520334E-01
 2.445833385E-02 -6.390531063E-01
 2.449999936E-02 -6.390523314E-01
 2.454166673E-02 -6.390531063E-01
 2.458333410E-02 -6.390521526E-01
 2.462499961E-02 -6.390529275E-01
 2.466666698E-02 -6.390519142E-01
 2.470833249E-02 -6.390525699E-01
 2.474999987E-02 -6.390513182E-01
 2.479166724E-02 -6.390516758E-01
 2.483333275E-02 -6.390501857E-01
 2.487500012E-02 -6.390501261E-01
 2.491666749E-02 -6.390482783E-01
 2.495833300E-02 -6.390480399E-01
 2.500000037E-02 -6.390457749E-01
 2.504166588E-02 -6.390452385E-01
 2.508333325E-02 -6.390429735E-01
 2.512500063E-02 -6.390424967E-01
 2.516666614E-02 -6.390402317E-01
 2.520833351E-02 -6.390396357E-01
 2.525000088E-02 -6.390374303E-01
 2.529166639E-02 -6.390367746E-01
 2.533333376E-02 -6.390343308E-01
 2.537499927E-02 -6.390337944E-01
 2.541666664E-02 -6.390314102E-01
 2.545833401E-02 -6.390306950E-01
 2.549999952E-02 -6.390283704E-01
 2.554166690E-02 -6.390278935E-01
 2.558333240E-02 -6.390257478E-01
 2.562499978E-02 -6.390254498E-01
 2.566666715E-02 -6.390236616E-01
 2.570833266E-02 -6.390237808E-01
 2.575000003E-02 -6.390221715E-01
 2.579166740E-02 -6.390224099E-01
 2.583333291E-02 -6.390211582E-01
 2.587500028E-02 -6.390215755E-01
 2.591666579E-02 -6.390202045E-01
 2.595833316E-02 -6.390205026E-01
 2.600000054E-02 -6.390190721E-01
 2.604166605E-02 -6.390194297E-01
 2.608333342E-02 -6.390178800E-01
 2.612500079E-02 -6.390181184E-01
 2.616666630E-02 -6.390165091E-01
 2.620833367E-02 -6.390163898E-01
 2.624999918E-02 -6.390144825E-01
 2.629166655E-02 -6.390142441E-01
 2.633333392E-02 -6.390122175E-01
 2.637499943E-02 -6.390119791E-01
 2.641666681E-02 -6.390100121E-01
 2.645833418E-02 -6.390100121E-01
 2.649999969E-02 -6.390083432E-01
 2.654166706E-02 -6.390084028E-01
 2.658333257E-02 -6.390069723E-01
 2.662499994E-02 -6.390073895E-01
 2.666666731E-02 -6.390061975E-01
 2.670833282E-02 -6.390067339E-01
 2.675000019E-02 -6.390055418E-01
 2.679166757E-02 -6.390059590E-01
 2.683333308E-02 -6.390045285E-01
 2.687500045E-02 -6.390047669E-01
 2.691666596E-02 -6.390033364E-01
 2.695833333E-02 -6.390036941E-01
